datetime,PM2.5(t),target,pred,abs_err,TEMP,Iws,cbwd
2014-04-09 19:00:00,80.0,580.0,91.25652313232422,488.7434768676758,24.0,7.15,SE
2014-01-31 00:00:00,137.0,469.0,116.36947631835938,352.6305236816406,-1.0,39.79,SE
2014-05-16 08:00:00,57.0,271.0,46.41769027709961,224.5823097229004,23.0,4.02,NE
2014-12-15 06:00:00,269.0,47.0,252.24313354492188,205.24313354492188,-4.0,0.89,cv
2014-02-26 17:00:00,446.0,188.0,382.9726867675781,194.97268676757812,9.0,4.92,NW
2014-01-19 18:00:00,202.0,28.0,216.6723175048828,188.6723175048828,1.0,0.89,cv
2014-01-17 17:00:00,10.0,195.0,11.098350524902344,183.90164947509766,4.0,21.45,NW
2014-12-10 08:00:00,325.0,152.0,332.743896484375,180.743896484375,-4.0,3.13,NW
2014-11-16 09:00:00,256.0,79.0,253.05380249023438,174.05380249023438,5.0,2.68,NW
2014-01-15 17:00:00,88.0,279.0,106.48258209228516,172.51741790771484,2.0,1.79,SE
2014-01-17 23:00:00,296.0,38.0,208.27902221679688,170.27902221679688,3.0,49.6,NW
2014-11-27 02:00:00,362.0,176.0,344.98974609375,168.98974609375,2.0,7.15,NW
