datetime,PM2.5(t),target,pred,abs_err,TEMP,Iws,cbwd
2014-04-09 19:00:00,80.0,580.0,90.39796496491549,489.6020350350845,24.0,7.15,SE
2014-04-09 20:00:00,580.0,217.0,591.5948980040139,374.5948980040139,22.0,12.96,SE
2014-01-31 00:00:00,137.0,469.0,124.11229346645433,344.88770653354567,-1.0,39.79,SE
2014-05-16 08:00:00,57.0,271.0,51.03487831468651,219.96512168531348,23.0,4.02,NE
2014-12-15 06:00:00,269.0,47.0,261.54644166278337,214.54644166278337,-4.0,0.89,cv
2014-02-26 17:00:00,446.0,188.0,402.5280554207408,214.52805542074083,9.0,4.92,NW
2014-05-16 09:00:00,271.0,50.0,251.7407735233738,201.7407735233738,25.0,11.17,NE
2014-01-17 23:00:00,296.0,38.0,236.32582845981074,198.32582845981074,3.0,49.6,NW
2014-01-19 18:00:00,202.0,28.0,220.53560216704648,192.53560216704648,1.0,0.89,cv
2014-01-15 17:00:00,88.0,279.0,96.99027664326997,182.00972335673003,2.0,1.79,SE
2014-01-17 17:00:00,10.0,195.0,16.465510487246966,178.53448951275303,4.0,21.45,NW
2014-12-10 08:00:00,325.0,152.0,323.07473843289034,171.07473843289034,-4.0,3.13,NW
