datetime,PM2.5(t),target,pred,abs_err,TEMP,Iws,cbwd
2014-04-09 19:00:00,80.0,580.0,87.11629486083984,492.88370513916016,24.0,7.15,SE
2014-01-31 00:00:00,137.0,469.0,143.12875366210938,325.8712463378906,-1.0,39.79,SE
2014-04-09 20:00:00,580.0,217.0,472.30426025390625,255.30426025390625,22.0,12.96,SE
2014-02-15 01:00:00,649.0,457.0,682.649658203125,225.649658203125,-5.0,0.89,cv
2014-02-26 17:00:00,446.0,188.0,405.9224548339844,217.92245483398438,9.0,4.92,NW
2014-05-16 08:00:00,57.0,271.0,56.7698860168457,214.2301139831543,23.0,4.02,NE
2014-12-15 06:00:00,269.0,47.0,257.0273742675781,210.02737426757812,-4.0,0.89,cv
2014-01-19 18:00:00,202.0,28.0,217.9675750732422,189.9675750732422,1.0,0.89,cv
2014-01-14 13:00:00,93.0,80.0,268.2125244140625,188.2125244140625,2.0,2.67,cv
2014-05-16 09:00:00,271.0,50.0,229.34390258789062,179.34390258789062,25.0,11.17,NE
2014-01-17 17:00:00,10.0,195.0,18.756723403930664,176.24327659606934,4.0,21.45,NW
2014-01-17 23:00:00,296.0,38.0,211.07518005371094,173.07518005371094,3.0,49.6,NW
